TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-28 13:05:00,adservice,faulty-update,7030,180
2022-03-28 13:24:00,mysql,db_delay,7049,180
2022-03-28 13:43:00,mysql,db_delay,7068,180
2022-03-28 14:02:00,setcurrency,excessive flow,7087,180
2022-03-28 14:21:00,browseproduct,excessive flow,7106,180
2022-03-28 14:40:00,viewcart,excessive flow,7125,180
2022-03-28 14:59:00,adservice,cpu,7144,180
2022-03-28 15:18:00,recommendationservice,cpu,7163,180
2022-03-28 15:36:00,viewcart,excessive flow,7181,180
2022-03-28 15:55:00,emailservice,cpu,7200,180
2022-03-28 16:13:00,viewcart,excessive flow,7218,180
2022-03-28 16:31:00,addtocart,excessive flow,7236,180
2022-03-28 16:50:00,mysql,db_delay,7255,180
2022-03-28 17:09:00,browseproduct,excessive flow,7274,180
2022-03-28 17:28:00,index,excessive flow,7293,180
2022-03-28 17:47:00,shippingservice,faulty-update,7312,180
2022-03-28 18:05:00,emailservice,faulty-update,7330,180
2022-03-28 18:24:00,index,excessive flow,7349,180
2022-03-28 18:42:00,checkoutservice,faulty-update,7367,180
2022-03-28 19:01:00,index,excessive flow,7386,180
2022-03-28 19:20:00,browseproduct,excessive flow,7405,180
2022-03-28 19:39:00,shippingservice,faulty-update,7424,180
2022-03-28 19:58:00,mysql,db_delay,7443,180
2022-03-28 20:17:00,shippingservice,cpu,7462,180
2022-03-28 20:36:00,checkout,excessive flow,7481,180
2022-03-28 20:55:00,paymentservice,faulty-update,7500,180
2022-03-28 21:13:00,mysql,db_delay,7518,180
2022-03-28 21:33:00,viewcart,excessive flow,7538,180
2022-03-28 21:52:00,adservice,faulty-update,7557,180
2022-03-28 22:11:00,viewcart,excessive flow,7576,180
2022-03-28 22:30:00,setcurrency,excessive flow,7595,180
2022-03-28 22:49:00,mysql,db_delay,7614,180
2022-03-28 23:07:00,cartservice,faulty-update,7632,180
2022-03-28 23:26:00,recommendationservice,faulty-update,7651,180
2022-03-28 23:45:00,adservice,cpu,7670,180
